authorizer,enterer,modifier,reference_no,author1init,author1last,author2init,author2last,otherauthors,pubyr,reftitle,pubtitle,editors,pubvol,pubno,firstpage,lastpage,publication_type,basis,language,doi,comments,project_name,project_ref_no,created,modified
"M. Carrano","M. Carrano",,30212,"S. E.",Evans,Y.,Wang,,2009,"A long-limbed lizard from the Upper Jurassic/Lower Cretaceous of Daohugou, Ningcheng, Nei Mongol, China","Vertebrata PalAsiatica",,47,1,21,34,"journal article","none discussed",English,,,ETE,,"2009-07-07 09:08:54","2009-07-08 02:08:54"
"R. Benson","R. Benson",,42794,C.,Gao,"L. M.",Chiappe,"F. ZHang, D. L. Pomeroy, C. Shen, A. Chinsamy, M. O. Walsh",2012,"A subadult specimen of the Early Cretaceous bird Sapeornis chaoyangensis and a taxonomic reassessment of sapeornithids","Journal of Vertebrate Paleontology",,32,5,1103,1112,"journal article","stated without evidence",English,10.1080/02724634.2012.693865,,,,"2012-08-29 18:35:23","2012-08-29 18:35:23"
"R. Benson","R. Benson",,37483,"K. -Q.",Gao,"L. A.",Nessov,,1998,"Early Cretaceous squamates from the Kyzylkum Desert, Uzbekistan","Neues Jahrbuch für Geologie und Paläontologie",,207,3,289,309,"journal article","stated with evidence",English,,,,,"2011-09-06 21:20:09","2011-09-06 21:20:09"
"J. Alroy","J. Alroy",,30992,K.-Q.,Gao,"N. H.",Shubin,,2001,"Late Jurassic salamanders from northern China",Nature,,410,,574,577,"journal article","stated with evidence",English,10.1038/35069051,,,,"2009-10-28 16:10:40","2009-10-29 10:10:40"
"J. Alroy","J. Alroy",,28757,K.-Q.,Gao,"N. H.",Shubin,,2003,"Earliest known crown-group salamanders",Nature,,422,,424,428,"journal article","stated with evidence",English,10.1038/nature01491,,,,"2008-12-11 19:25:26","2008-12-12 14:25:26"
"R. Benson","R. Benson","M. Carrano",42318,"K. -Q.",Gao,"N. H.",Shubin,,2012,"Late Jurassic salamandroid from western Liaoning, China","Proceedings of the National Academy of Sciences",,109,15,5767,5772,"journal article","stated with evidence",English,10.1073/pnas.1009828109,,,,"2012-07-16 21:44:44","2013-01-29 05:58:59"
"E. Fara","E. Fara","E. Fara",19862,"J. D.",Gardner,"A. O.",Averianov,,1998,"Albanerpetontid amphibians from the Upper Cretaceous of Middle Asia","Acta Palaeontologica Polonica",,43,3,453,467,"journal article","stated with evidence",English,,,5%,53640,"2007-02-08 09:15:14","2007-02-09 04:17:00"
"M. Carrano","M. Carrano",,52039,"J. D.",Gardner,M.,Böhme,,2008,"Review of the Albanerpetontidae (Lissamphibia), with comments on the paleoecological preferences of European Tertiary albanerpetontids","Vertebrate Microfossil Assemblages: Their Role in Paleoecology and Paleobiogeography","J. T. Sankey & S. Baszio",,,178,218,"book chapter","stated without evidence",English,,,,,"2014-07-25 09:49:27","2014-07-26 00:49:27"
"P. Mannion","P. Mannion",,46204,"Y. M.",Gubin,,,,1991,"Paleocene salamanders from southern Mongolia","Paleontological Journal",,25,,91,102,"journal article","stated with evidence",English,,,,,"2013-04-09 01:36:05","2013-04-09 01:36:05"
"J. Alroy","J. Alroy","M. Carrano",29037,S.,Hope,,,,2002,"The Mesozoic radiation of Neornithes","Mesozoic Birds: Above the Heads of Dinosaurs. University of California Press, Berkeley","L. M. Chiappe and  L. M. Witmer",,,339,388,"book/book chapter","stated with evidence",English,,"selected taxonomy entered only",,,"2009-01-24 14:47:18","2009-02-06 10:01:27"
