collection_no,source_database,collection.authorizer,occurrence.genus_reso,occurrence.genus_name,occurrence.species_reso,occurrence.species_name,original.genus_reso,original.genus_name,original.species_reso,original.species_name,collection.reference_no,pubyr,country,state,latdec,lngdec,paleolatdec,paleolngdec,subepoch,stage,10_my_bin,FR2_bin,ma_max,ma_mid,formation,member
34615,PaleoDB,"J. Hunter",,Triturus,cf.,marmoratus,,,,,9144,1972,Germany,Bavaria,48.626667,11.802778,48.90,10.41,"Middle Miocene",Langhian,"Cenozoic 5","Middle Miocene",15.970,14.81,"Upper Freshwater Molasse",
34615,PaleoDB,"J. Hunter",,Triturus,cf.,vulgaris,,,,,9144,1972,Germany,Bavaria,48.626667,11.802778,48.90,10.41,"Middle Miocene",Langhian,"Cenozoic 5","Middle Miocene",15.970,14.81,"Upper Freshwater Molasse",
34615,PaleoDB,"J. Hunter",,Chelotriton,,sp.,,,,,9144,1972,Germany,Bavaria,48.626667,11.802778,48.90,10.41,"Middle Miocene",Langhian,"Cenozoic 5","Middle Miocene",15.970,14.81,"Upper Freshwater Molasse",
34615,PaleoDB,"J. Hunter",,Salamandra,,sansaniensis,,,,,9144,1972,Germany,Bavaria,48.626667,11.802778,48.90,10.41,"Middle Miocene",Langhian,"Cenozoic 5","Middle Miocene",15.970,14.81,"Upper Freshwater Molasse",
35076,PaleoDB,"A. Turner",,Salamandra,,sp.,,,,,9424,1976,France,Midi-Pyrenees,43.133333,0.383333,43.20,0.11,,,"Cenozoic 6",,5.332,2.672,,
35354,PaleoDB,"A. Turner",,Salamandra,,sp.,,,,,9534,1986,Hungary,Barany,45.900000,18.216667,45.76,18.11,,,"Cenozoic 6",Pliocene,5.332,3.96,,
35354,PaleoDB,"A. Turner",,Triturus,,sp.,,,,,9534,1986,Hungary,Barany,45.900000,18.216667,45.76,18.11,,,"Cenozoic 6",Pliocene,5.332,3.96,,
35472,PaleoDB,"A. Turner",,Triturus,,sp.,,,,,9534,1986,Hungary,Borsodabaujzemplen,48.050000,20.533333,48.05,20.53,"Middle Pleistocene",,"Cenozoic 6",Pleistocene,0.781,0.4535,,
35472,PaleoDB,"A. Turner",,Salamandra,cf.,salamandra,,,,,9534,1986,Hungary,Borsodabaujzemplen,48.050000,20.533333,48.05,20.53,"Middle Pleistocene",,"Cenozoic 6",Pleistocene,0.781,0.4535,,
38682,PaleoDB,"M. Carrano",,Kababisha,"n. sp.",sudanensis,,,,,39507,1990,Sudan,"Ash Shamaliyah",16.695000,31.145000,-3.77,23.85,,Cenomanian,"Cretaceous 5",Cenomanian,99.700,97,"Wadi Milk",
38682,PaleoDB,"M. Carrano","n. gen.",Kababisha,"n. sp.",humarensis,,,,,39507,1990,Sudan,"Ash Shamaliyah",16.695000,31.145000,-3.77,23.85,,Cenomanian,"Cretaceous 5",Cenomanian,99.700,97,"Wadi Milk",
39075,PaleoDB,"M. Carrano",,Marmorerpeton,"n. sp.",freemani,,,,,10558,1976,"United Kingdom",England,51.86667,-1.26667,41.51,9.08,,Bathonian,"Jurassic 4",Bathonian,167.700,166.2,"Forest Marble",
39075,PaleoDB,"M. Carrano",,Marmorerpeton,,sp.,,,,,10558,1976,"United Kingdom",England,51.86667,-1.26667,41.51,9.08,,Bathonian,"Jurassic 4",Bathonian,167.700,166.2,"Forest Marble",
39075,PaleoDB,"M. Carrano","n. gen.",Marmorerpeton,"n. sp.",kermacki,,,,,10558,1976,"United Kingdom",England,51.86667,-1.26667,41.51,9.08,,Bathonian,"Jurassic 4",Bathonian,167.700,166.2,"Forest Marble",
39236,Fossilworks,"J. Alroy",cf.,Megalotriton,,sp.,,,,,10589,1974,"United Kingdom",England,50.629167,-1.55,49.12,-5.43,"Late/Upper Eocene",Priabonian,"Cenozoic 3",Priabonian,37.200,35.55,"Lower Headon Beds",
39680,PaleoDB,"M. Carrano","n. gen.",Kiyatriton,"n. sp.",leshchinskiyi,,,,,14374,1973,"Russian Federation",Kemerovo,55.903333,87.957778,54.19,84.60,,,,,130.000,121.3,Ilek,
44942,Fossilworks,"J. Alroy","n. gen.",Oligosemia,"n. sp.",spinosa,,,,,11708,1922,Spain,Teruel,40.161944,-1.234444,40.37,-2.11,"Late/Upper Miocene",Tortonian,"Cenozoic 6","Upper Miocene",11.100,9.9,,
46955,Fossilworks,"J. Alroy",,Andrias,,scheuchzeri,,,,,12472,2000,Germany,,50.900000,6.450000,51.12,4.97,"Middle Miocene",Langhian,"Cenozoic 5","Middle Miocene",15.970,14.81,Ville,Frimmersdorf
46955,Fossilworks,"J. Alroy",cf.,Salamandra,,sp.,,,,,12472,2000,Germany,,50.900000,6.450000,51.12,4.97,"Middle Miocene",Langhian,"Cenozoic 5","Middle Miocene",15.970,14.81,Ville,Frimmersdorf
46955,Fossilworks,"J. Alroy",,Chelotriton,,paradoxus,,,,,12472,2000,Germany,,50.900000,6.450000,51.12,4.97,"Middle Miocene",Langhian,"Cenozoic 5","Middle Miocene",15.970,14.81,Ville,Frimmersdorf
48325,Fossilworks,"J. Alroy",,Triturus,cf.,vulgaris,,,,,43885,2009,Germany,Baden-Württemberg,48.663611,10.229167,48.92,8.82,"Middle Miocene",Langhian,"Cenozoic 5","Middle Miocene",15.970,14.81,"Upper Freshwater Molasse",
48325,Fossilworks,"J. Alroy",,Chelotriton,,paradoxus,,,,,43885,2009,Germany,Baden-Württemberg,48.663611,10.229167,48.92,8.82,"Middle Miocene",Langhian,"Cenozoic 5","Middle Miocene",15.970,14.81,"Upper Freshwater Molasse",
48325,Fossilworks,"J. Alroy",,Salamandra,,sansaniensis,,,,,43885,2009,Germany,Baden-Württemberg,48.663611,10.229167,48.92,8.82,"Middle Miocene",Langhian,"Cenozoic 5","Middle Miocene",15.970,14.81,"Upper Freshwater Molasse",
48325,Fossilworks,"J. Alroy",,Mioproteus,,caucasicus,,,,,43885,2009,Germany,Baden-Württemberg,48.663611,10.229167,48.92,8.82,"Middle Miocene",Langhian,"Cenozoic 5","Middle Miocene",15.970,14.81,"Upper Freshwater Molasse",
