collection_no,source_database,collection.authorizer,occurrence.genus_reso,occurrence.genus_name,occurrence.species_reso,occurrence.species_name,original.genus_reso,original.genus_name,original.species_reso,original.species_name,collection.reference_no,pubyr,country,state,latdec,lngdec,paleolatdec,paleolngdec,epoch,stage,10_my_bin,FR2_bin,ma_max,ma_mid,formation,member
14505,Fossilworks,"J. Alroy",,Habrosaurus,,dilatus,,,,,3880,1954,"United States",Wyoming,43.183333,-104.533333,49.65,-79.37,"Late/Upper Cretaceous",Maastrichtian,"Cretaceous 8",Maastrichtian,67.3,67.2,Lance,
14505,Fossilworks,"J. Alroy",,Scapherpeton,,tectum,,,,,3880,1954,"United States",Wyoming,43.183333,-104.533333,49.65,-79.37,"Late/Upper Cretaceous",Maastrichtian,"Cretaceous 8",Maastrichtian,67.3,67.2,Lance,
14505,Fossilworks,"J. Alroy",,Prodesmodon,,copei,,,,,3880,1954,"United States",Wyoming,43.183333,-104.533333,49.65,-79.37,"Late/Upper Cretaceous",Maastrichtian,"Cretaceous 8",Maastrichtian,67.3,67.2,Lance,
14508,Fossilworks,"J. Alroy",,Lisserpeton,,atlantes,,,,,960,1982,"United States",Montana,47.5500,-107.1333,54.35,-80.26,"Late/Upper Cretaceous",Maastrichtian,"Cretaceous 8",Maastrichtian,70.600,68.3215,"Hell Creek",
14508,Fossilworks,"J. Alroy",,Opisthotriton,,sp.,,,,,960,1982,"United States",Montana,47.5500,-107.1333,54.35,-80.26,"Late/Upper Cretaceous",Maastrichtian,"Cretaceous 8",Maastrichtian,70.600,68.3215,"Hell Creek",
14508,Fossilworks,"J. Alroy",,Scapherpeton,,tectum,,,,,960,1982,"United States",Montana,47.5500,-107.1333,54.35,-80.26,"Late/Upper Cretaceous",Maastrichtian,"Cretaceous 8",Maastrichtian,70.600,68.3215,"Hell Creek",
14513,Fossilworks,"J. Alroy",,Scapherpeton,,tectum,,,,,960,1982,"United States",Montana,47.6167,-107.3167,54.45,-80.43,"Late/Upper Cretaceous",Maastrichtian,"Cretaceous 8",Maastrichtian,70.600,68.3215,"Hell Creek",
14513,Fossilworks,"J. Alroy",,Scapherpeton,,sp.,,,,,960,1982,"United States",Montana,47.6167,-107.3167,54.45,-80.43,"Late/Upper Cretaceous",Maastrichtian,"Cretaceous 8",Maastrichtian,70.600,68.3215,"Hell Creek",
14513,Fossilworks,"J. Alroy",,Habrosaurus,,sp.,,,,,960,1982,"United States",Montana,47.6167,-107.3167,54.45,-80.43,"Late/Upper Cretaceous",Maastrichtian,"Cretaceous 8",Maastrichtian,70.600,68.3215,"Hell Creek",
14514,Fossilworks,"J. Alroy",,Lisserpeton,,bairdi,,,,,1129,1982,"United States",Wyoming,41.5683,-108.6678,48.87,-84.54,"Late/Upper Cretaceous",Maastrichtian,"Cretaceous 8",Maastrichtian,70.600,68.3215,Lance,
