collection_no,source_database,collection.authorizer,class_name,order_name,family_name,occurrence.genus_reso,occurrence.genus_name,occurrence.species_reso,occurrence.species_name,original.genus_reso,original.genus_name,original.species_reso,original.species_name,collection.reference_no,pubyr,collection_name,country,state,latdec,lngdec,paleolatdec,paleolngdec,stage,10_my_bin,FR2_bin,formation,member
14519,Fossilworks,"J. Alroy",,,Urodela,,Piceoerpeton,,naylori,cf.,Piceoerpeton,,sp.,1239,1964,"Bushy Tailed Blowout","United States",Wyoming,43.15,-104.5667,49.62,-79.42,Maastrichtian,"Cretaceous 8",Maastrichtian,Lance,
14519,Fossilworks,"J. Alroy",,,Urodela,,Lisserpeton,,bairdi,,,,,1239,1964,"Bushy Tailed Blowout","United States",Wyoming,43.15,-104.5667,49.62,-79.42,Maastrichtian,"Cretaceous 8",Maastrichtian,Lance,
14519,Fossilworks,"J. Alroy",,,Batrachosauroididae,,Prodesmodon,,copei,,,,,1239,1964,"Bushy Tailed Blowout","United States",Wyoming,43.15,-104.5667,49.62,-79.42,Maastrichtian,"Cretaceous 8",Maastrichtian,Lance,
14519,Fossilworks,"J. Alroy",,,Urodela,,Habrosaurus,,dilatus,,,,,1239,1964,"Bushy Tailed Blowout","United States",Wyoming,43.15,-104.5667,49.62,-79.42,Maastrichtian,"Cretaceous 8",Maastrichtian,Lance,
14519,Fossilworks,"J. Alroy",,,Urodela,,Scapherpeton,,tectum,,,,,1239,1964,"Bushy Tailed Blowout","United States",Wyoming,43.15,-104.5667,49.62,-79.42,Maastrichtian,"Cretaceous 8",Maastrichtian,Lance,
14519,Fossilworks,"J. Alroy",,,Batrachosauroididae,,Opisthotriton,,kayi,,,,,1239,1964,"Bushy Tailed Blowout","United States",Wyoming,43.15,-104.5667,49.62,-79.42,Maastrichtian,"Cretaceous 8",Maastrichtian,Lance,
14519,Fossilworks,"J. Alroy",,,Batrachosauroididae,,Prodesmodon,,copei,,Cuttysarkus,,mcnallyi,1239,1964,"Bushy Tailed Blowout","United States",Wyoming,43.15,-104.5667,49.62,-79.42,Maastrichtian,"Cretaceous 8",Maastrichtian,Lance,
14522,Fossilworks,"J. Alroy",,,Urodela,,Habrosaurus,,dilatus,,,,,1239,1964,"Cow Creek Site 1","United States",Wyoming,43.25,-104.65,49.73,-79.47,Maastrichtian,"Cretaceous 8",Maastrichtian,Lance,
14524,Fossilworks,"J. Alroy",,,Urodela,,Habrosaurus,,dilatus,,,,,1239,1964,"Curiosity Point","United States",Wyoming,43.2167,-104.5667,49.68,-79.40,Maastrichtian,"Cretaceous 8",Maastrichtian,Lance,
14524,Fossilworks,"J. Alroy",,,Batrachosauroididae,,Prodesmodon,,copei,,,,,1239,1964,"Curiosity Point","United States",Wyoming,43.2167,-104.5667,49.68,-79.40,Maastrichtian,"Cretaceous 8",Maastrichtian,Lance,
