generation,N_shifts,logPrior,logLik,eventRate,preservationRate,acceptRate
108000000,6,38.4012,-6803.68,3.47338,0.0858937,0.329
108500000,9,57.8807,-6805.15,9.44965,0.0934624,0.357
109000000,8,52.6888,-6797.77,7.33908,0.0924271,0.3318
109500000,6,39.5858,-6810.73,3.1874,0.0875119,0.3295
110000000,9,59.5253,-6790.86,11.6075,0.0918258,0.345
110500000,12,75.2183,-6801.56,10.1116,0.0910758,0.377
111000000,7,39.0264,-6795.16,7.64546,0.0938799,0.3355
111500000,7,43.6787,-6797.76,8.49931,0.0929143,0.33
112000000,8,50.6126,-6804.86,5.28858,0.0840719,0.338
112500000,9,58.9909,-6798.93,8.29479,0.0945209,0.332
113000000,6,37.1305,-6809.75,3.57358,0.0897424,0.3325
113500000,9,55.9854,-6788.41,8.94011,0.0941988,0.337
114000000,12,72.6255,-6786.96,22.8269,0.0936702,0.359
114500000,8,54.266,-6804.79,13.4701,0.0912394,0.3515
115000000,8,52.7582,-6807.59,8.04917,0.092764,0.332
115500000,9,53.7912,-6802.73,18.2887,0.0919953,0.327
116000000,6,40.4464,-6802.7,6.53214,0.0910152,0.33
116500000,9,60.9888,-6798.05,12.115,0.0959394,0.3345
117000000,8,51.7154,-6795.55,9.88749,0.0892493,0.317
117500000,7,46.5054,-6810.61,1.57144,0.0915244,0.344625
118000000,6,43.187,-6806.97,6.87242,0.0887393,0.311
118500000,8,52.3425,-6790.31,9.29809,0.0937068,0.338
