generation,N_shifts,logPrior,logLik,eventRate,preservationRate,acceptRate
67000000,8,50.3904,-3004.13,10.4487,0.00475304,0.328
67500000,9,58.8095,-2997.5,9.23527,0.00574145,0.366
68000000,16,101.74,-3002.02,10.374,0.0049443,0.352
68500000,10,65.199,-2994.1,10.0109,0.00485619,0.349
69000000,7,41.5577,-3015.23,4.57326,0.00440629,0.3525
69500000,7,46.5439,-3002.22,12.3211,0.00505246,0.356
70000000,10,62.9294,-2996.21,13.8861,0.00575209,0.385
70500000,10,63.6616,-2998.6,7.89804,0.0052066,0.37
71000000,9,56.2075,-3020.1,13.6864,0.00434456,0.376
71500000,9,51.0624,-3000.9,10.6391,0.00476427,0.366
72000000,7,44.108,-3006.73,9.04975,0.00485511,0.312
72500000,22,123.011,-3008.68,28.4097,0.00386745,0.378
73000000,12,77.5146,-2997.51,8.83581,0.00672736,0.378
73500000,8,43.8648,-3004.12,8.08107,0.00485213,0.354
74000000,6,41.4105,-3019.6,8.94141,0.00619366,0.368571
74500000,12,69.4098,-2992.5,15.7381,0.00523146,0.363
75000000,10,63.0417,-2994.04,13.6194,0.00512401,0.342
75500000,10,58.4461,-3003.03,11.3707,0.00416821,0.377
76000000,8,52.9773,-3005.49,9.55043,0.00531523,0.312
76500000,8,46.8424,-2995.87,14.1534,0.0054371,0.353
77000000,6,36.9303,-3028.53,6.53223,0.00475126,0.3662
77500000,7,41.8094,-3019.47,7.21133,0.00588787,0.343
78000000,10,54.0353,-2995.44,7.97165,0.00428642,0.362
78500000,6,36.5114,-3007.96,5.14219,0.0043731,0.3665
79000000,9,51.682,-3001.97,7.66437,0.00482561,0.355
79500000,11,64.6905,-2997.1,12.2192,0.00496353,0.387
80000000,8,48.0293,-2999.91,9.34086,0.00511531,0.338
80500000,8,44.9528,-2993.09,7.20509,0.00461874,0.3285
81000000,8,47.7135,-2998.87,7.12148,0.00487897,0.361
81500000,12,71.891,-2994.21,13.2327,0.00444684,0.357
82000000,8,46.0255,-2996.58,8.63469,0.00357751,0.3525
82500000,8,49.8905,-2997.96,2.71613,0.00494838,0.337
83000000,14,85.137,-3005.68,13.5929,0.00464073,0.345
83500000,9,54.098,-3015.94,9.42647,0.00483527,0.365
84000000,10,62.4348,-2996.26,15.8006,0.00408897,0.362
84500000,13,74.2292,-2998.36,11.4883,0.00556098,0.3935
85000000,12,68.0321,-3001.82,7.13139,0.00616699,0.38
85500000,8,43.3466,-3000.58,10.6246,0.00476824,0.394
86000000,11,65.7206,-3009.61,16.556,0.00478387,0.3775
86500000,11,67.9471,-3005.43,6.218,0.00463452,0.326
87000000,5,31.9991,-3010.96,2.5901,0.00482914,0.346
87500000,10,64.7213,-3007.63,10.3327,0.00580729,0.384
88000000,9,51.4877,-3000.68,13.5835,0.00458638,0.342
88500000,8,48.4202,-2995.34,5.27287,0.00412735,0.3545
89000000,14,87.7124,-2991.95,13.3812,0.00544676,0.374
89500000,11,62.6262,-2993.34,11.8216,0.00466973,0.362
90000000,11,64.6848,-2994.49,13.3078,0.00486663,0.352
90500000,18,103.019,-2994.49,24.631,0.00564105,0.368
91000000,7,35.9953,-3001.04,7.87027,0.00493746,0.3415
91500000,12,78.0656,-3004.45,5.85417,0.00456452,0.354
92000000,11,65.1261,-2996.76,13.8016,0.00507515,0.343
92500000,11,67.2515,-3001.59,14.5605,0.00584134,0.369
93000000,10,57.6381,-3004.59,15.6821,0.00473127,0.366
93500000,14,85.874,-2991.38,11.8774,0.00480886,0.37
94000000,13,73.8503,-2988.87,13.8553,0.00406537,0.3605
94500000,12,73.6574,-2987.44,11.6297,0.00528953,0.314
95000000,6,39.0459,-3010.08,7.29541,0.00471696,0.348
95500000,16,93.5398,-2981.07,17.9788,0.00474923,0.373
96000000,7,42.4329,-3004.03,7.66944,0.00379048,0.352
96500000,15,87.6664,-2993.88,9.48559,0.00566487,0.364
97000000,8,46.712,-3007.38,10.4678,0.00439861,0.339
97500000,12,73.4387,-2994.32,14.6479,0.00530246,0.376
98000000,8,51.3903,-3005.06,7.61403,0.00456001,0.344
98500000,11,60.3409,-2997,13.6371,0.00431833,0.382
99000000,8,51.224,-3010.77,10.8264,0.00387873,0.357333
99500000,9,58.4857,-3003.94,11.6207,0.00411445,0.372
100000000,11,63.6015,-2997.5,16.7829,0.00372826,0.347
100500000,7,42.6912,-2999.79,6.99919,0.00486669,0.323
101000000,12,71.2148,-3008.11,16.7812,0.00558214,0.349
101500000,10,62.2086,-2990.8,11.9512,0.00547812,0.374
102000000,11,66.2789,-2997.27,11.4211,0.00502792,0.367
102500000,10,57.4903,-2994.63,7.77518,0.00612645,0.321
103000000,4,24.3385,-3026.4,4.1062,0.00395749,0.334
103500000,7,43.1091,-3006.4,11.9589,0.00490499,0.344
104000000,9,43.0834,-2999.73,14.7517,0.0040579,0.373
104500000,14,80.0903,-2986.87,22.3476,0.00542679,0.377
105000000,11,66.1416,-2983.79,13.7399,0.0046182,0.352
105500000,8,47.8571,-3005.27,7.16156,0.00470869,0.36
106000000,8,51.9279,-3001.83,11.3314,0.00430593,0.357
106500000,7,45.7953,-3005.38,10.3967,0.00514507,0.353
107000000,8,45.1751,-3002.5,6.06876,0.0055422,0.342
107500000,8,52.7296,-2999.7,9.08083,0.00495343,0.354
