generation,N_shifts,logPrior,logLik,eventRate,acceptRate
427000000,41,242.361,24.0632,43.7242,0.2485
428000000,41,253.436,9.79323,41.596,0.262
429000000,25,150.122,10.8361,24.252,0.2495
430000000,28,163.806,46.3666,29.0944,0.2205
431000000,38,229.28,18.3822,43.421,0.2465
432000000,45,268.745,28.0074,36.652,0.2455
433000000,30,181.794,12.3535,31.2286,0.239
434000000,22,138.214,24.6527,21.4091,0.243
435000000,36,214.616,11.7009,34.75,0.249333
436000000,36,214.737,27.8388,42.9468,0.2645
437000000,69,414.657,33.3036,70.9292,0.222
438000000,24,136.817,42.5153,33.8009,0.23
439000000,60,348.274,58.4519,60.3893,0.2205
440000000,31,185.05,55.7477,31.5317,0.219
441000000,51,306.085,51.0267,55.5713,0.221
442000000,31,191.212,24.3864,33.078,0.245
443000000,40,239.604,5.86376,30.6491,0.25
444000000,33,191.25,38.5964,41.3426,0.237
445000000,42,249.708,27.8784,40.2773,0.232
446000000,69,415.835,8.49606,77.5251,0.257
447000000,48,300.543,44.9207,50.424,0.242
448000000,18,107.725,-8.89307,14.1151,0.2565
449000000,34,200.752,40.7,25.7365,0.2605
450000000,61,366.268,12.1284,69.4937,0.245
451000000,36,217.136,43.5951,32.5546,0.2415
452000000,73,443.867,67.8524,57.992,0.231
453000000,49,292.484,11.3575,45.4422,0.235
454000000,50,290.888,48.6242,35.0065,0.228
455000000,28,150.455,18.1417,31.9732,0.2425
456000000,56,335.984,24.7893,51.6512,0.228
457000000,31,183.872,49.3151,29.752,0.232
458000000,39,227.956,37.8788,30.9193,0.243
459000000,36,225.574,3.13244,34.5239,0.2505
460000000,32,197.316,17.2349,33.6481,0.2425
461000000,24,147.435,30.0399,21.2511,0.2525
462000000,44,266.081,16.016,51.1735,0.225
463000000,60,336.801,-0.447492,49.6547,0.2765
464000000,38,225.936,44.5647,32.2794,0.246
465000000,41,259.8,-7.68175,34.5765,0.277
466000000,34,204.208,5.42293,25.5221,0.261
467000000,34,212.907,-4.35467,41.529,0.259
468000000,39,227.883,51.9959,51.1651,0.234
469000000,34,191.169,33.5616,24.6888,0.253
470000000,35,212.916,15.9565,31.5273,0.2485
471000000,43,266.302,3.77005,45.7885,0.249
472000000,32,191.451,51.4043,33.8849,0.229
473000000,29,177.373,40.0347,28.1632,0.23
474000000,35,211.195,51.2233,37.1554,0.245
475000000,37,220.95,30.328,43.4399,0.249
476000000,24,147.615,30.646,27.2873,0.249
477000000,40,240.138,-19.9831,34.3465,0.268
478000000,46,283.202,22.4909,38.7107,0.272
479000000,68,408.848,29.741,66.5939,0.281
480000000,49,306.977,21.165,47.0236,0.2625
481000000,31,190.493,-17.8972,40.2122,0.27075
482000000,59,366.83,16.7639,55.6906,0.249
483000000,37,220.968,0.297363,44.0541,0.255667
484000000,44,258.275,12.4438,47.2193,0.2375
485000000,33,192.546,24.8226,37.2722,0.24
486000000,55,336.009,49.9266,56.1476,0.237
487000000,42,242.597,45.6328,37.4231,0.23
488000000,37,217.61,39.988,41.5898,0.238
489000000,69,417.113,24.3313,57.6031,0.246
490000000,37,221.916,46.7006,36.3964,0.2275
491000000,29,179.554,3.5627,42.2171,0.259
492000000,50,303.425,46.2221,47.7678,0.227
493000000,39,233.371,2.4628,41.0109,0.246
494000000,41,244.436,-16.1998,36.8355,0.254
495000000,34,190.943,23.6316,28.0448,0.223
496000000,49,295.74,30.4213,52.1147,0.235
497000000,50,293.091,68.3961,55.5024,0.239
498000000,62,372.665,55.6056,66.6365,0.215
499000000,42,259.983,36.4669,36.5747,0.255
500000000,52,302.086,73.2041,56.6263,0.229
501000000,45,268.217,16.626,39.567,0.262
502000000,36,208.222,9.87091,39.8054,0.2425
503000000,34,198.752,26.0644,24.1455,0.239
504000000,48,292.11,54.1935,41.9702,0.237
505000000,48,279.875,32.4303,60.6613,0.243
506000000,49,301.907,9.67423,66.0561,0.254
507000000,44,257.239,44.5968,37.8588,0.234
508000000,50,282.341,21.175,57.53,0.239
509000000,38,235.134,30.3063,40.3303,0.252
510000000,42,253.335,8.4996,48.412,0.241
511000000,40,242.567,23.9175,44.0312,0.235
512000000,43,252.134,72.1528,50.0619,0.224
513000000,62,371.883,57.393,72.5048,0.231
514000000,50,303.706,7.75513,44.355,0.275
515000000,33,197.623,25.3644,40.0348,0.208
516000000,21,124.576,11.2582,24.2171,0.245
517000000,40,238.465,52.3773,43.4484,0.2175
518000000,40,247.888,-22.9223,36.0121,0.295
519000000,51,303.919,29.2182,58.6152,0.265
520000000,58,356.67,58.1944,64.111,0.2335
521000000,40,233.439,12.252,41.3052,0.2545
522000000,56,331.223,40.1874,58.7988,0.2435
523000000,57,330.872,30.2806,58.042,0.252167
524000000,64,380.536,44.3893,55.7531,0.219
525000000,28,170.03,43.4943,30.9977,0.2335
526000000,41,248.719,44.6772,57.5639,0.235
527000000,61,369.586,61.0112,71.2082,0.242
528000000,40,241.347,47.523,35.7236,0.226
529000000,47,272.735,32.6072,56.5262,0.239
530000000,41,246.594,23.4264,43.329,0.2635
531000000,52,325.766,20.0556,53.3957,0.263
532000000,38,217.668,1.99923,34.2895,0.233
533000000,47,275.316,29.0527,42.6815,0.237333
534000000,50,307.748,74.9205,49.7573,0.218
535000000,26,160.303,-1.21074,28.6847,0.257333
536000000,29,172.503,27.6528,23.7754,0.246333
537000000,67,397.316,48.8615,50.0996,0.232
538000000,34,211.377,29.0692,38.0006,0.248
539000000,43,261.106,27.5842,54.7394,0.24
540000000,43,264.61,49.3073,38.5498,0.244
541000000,47,295.508,51.2742,45.526,0.22
542000000,62,369.861,23.0102,68.7645,0.229
543000000,47,292.094,34.5815,52.1447,0.2375
544000000,37,216.287,42.4846,41.7294,0.23
545000000,37,214.921,29.6325,45.6238,0.249
546000000,70,426.161,29.1476,71.4664,0.24
547000000,50,304.286,7.53718,51.4988,0.2698
548000000,48,296.698,18.6768,45.2989,0.252
549000000,52,323.62,-4.13961,80.1406,0.268667
550000000,25,154.562,20.7609,27.6391,0.252
551000000,42,256.171,25.1624,52.4477,0.233
552000000,76,442.985,39.88,75.4973,0.26
553000000,32,197.002,-2.57516,30.6261,0.251571
554000000,50,293.678,28.0402,43.7381,0.214
555000000,39,220.435,12.283,31.6406,0.228
556000000,52,309.646,-13.9147,64.8764,0.279
557000000,52,315.106,42.6454,54.7159,0.232
558000000,31,185.928,21.8628,39.4892,0.2605
559000000,41,260.605,29.5067,51.5818,0.2335
560000000,74,433.849,3.98763,63.7759,0.256
561000000,47,279.632,52.0805,49.7852,0.233
562000000,52,320.375,13.0163,42.6114,0.265
563000000,31,177.68,-0.68462,23.3004,0.261
564000000,27,162.893,-33.4235,32.3015,0.265667
565000000,32,194.514,-15.9244,32.3096,0.249
566000000,41,240.67,18.7835,47.6009,0.223
567000000,39,228.735,37.9634,39.0471,0.249
568000000,72,430.244,-10.7805,77.4025,0.265
569000000,27,156.522,7.56099,21.9157,0.2425
570000000,48,300.905,31.0642,46.6791,0.245
571000000,48,286.82,57.0291,48.8168,0.236
572000000,60,347.034,17.8267,58.9658,0.264
573000000,42,256.246,27.5253,43.4872,0.2235
574000000,56,339.396,23.1574,60.4805,0.2385
575000000,62,373.36,29.8807,60.6082,0.245
576000000,32,180.409,14.7678,29.8332,0.2555
577000000,30,177.174,4.12073,23.9835,0.236
578000000,41,235.309,41.9019,44.2553,0.252
579000000,60,351.21,42.1451,58.5431,0.2435
580000000,44,274.233,45.046,60.5989,0.218
581000000,42,255.493,18.748,39.7264,0.228
582000000,36,221.135,30.6334,37.7349,0.259
583000000,44,264.394,-2.41981,39.1028,0.24
584000000,32,189.779,-9.12046,20.1213,0.243
585000000,42,257.645,19.9365,44.7911,0.241
586000000,33,188.057,15.3258,36.2897,0.2335
587000000,54,316.083,23.2647,49.2771,0.255
588000000,29,174.372,31.1188,33.8503,0.2365
589000000,28,161.7,-2.45392,27.4235,0.25175
590000000,48,279.407,66.882,58.2075,0.246
591000000,58,355.881,49.1149,70.1373,0.241
592000000,71,404.324,58.6579,56.1827,0.243
593000000,31,186.676,35.4387,27.9832,0.246
594000000,25,148.067,24.236,16.0844,0.2425
595000000,47,274.586,15.5185,39.3365,0.2455
596000000,57,357.992,54.0721,57.9372,0.241
597000000,46,285.925,44.873,43.923,0.236
598000000,66,404.511,34.5995,81.0343,0.28
599000000,52,309.168,38.0932,41.9792,0.218
600000000,71,429.078,19.1109,64.4751,0.243
601000000,26,162.014,-3.63906,31.6641,0.245
602000000,28,167.319,-11.2121,41.9254,0.245
603000000,38,231.747,40.5552,46.9013,0.2575
604000000,43,245,11.7894,43.3682,0.249667
605000000,24,138.349,-14.6307,32.6568,0.2615
606000000,35,216.475,43.6771,45.0045,0.247
607000000,25,153.868,13.1101,20.3232,0.245
608000000,44,261.032,15.3115,32.0463,0.247
609000000,43,264.424,13.7578,51.4773,0.281
610000000,34,210.469,21.5309,35.5568,0.25
611000000,22,126.976,15.127,22.4268,0.237
612000000,19,111.411,16.9665,21.6,0.223
613000000,43,249.685,40.9636,61.5185,0.251
614000000,28,167.201,11.7934,23.2533,0.246667
615000000,21,125.4,1.19479,36.0075,0.272
616000000,28,167.982,33.4833,21.0169,0.24
617000000,48,280.005,40.408,45.7758,0.2325
618000000,35,214.847,19.7122,37.6803,0.2225
619000000,57,337.259,59.0954,69.2056,0.228
620000000,73,433.179,27.9906,73.0729,0.233
621000000,67,404.073,25.2636,70.2807,0.2535
622000000,27,164.676,21.2982,18.7206,0.2545
623000000,62,375.265,23.2746,68.8681,0.23
624000000,54,318.98,56.7633,54.7003,0.23
625000000,38,241.729,35.845,45.4943,0.278
626000000,26,157.823,30.3797,22.0539,0.233
627000000,25,147.885,-6.62035,26.8937,0.238
628000000,44,265.234,52.0023,44.7629,0.2545
629000000,49,274.172,17.6646,53.7969,0.2505
630000000,32,183.864,58.9154,27.527,0.239
631000000,50,309.665,26.3239,36.406,0.242
632000000,61,360.082,56.3258,44.517,0.21
633000000,53,328.151,28.3645,42.501,0.259
634000000,41,250.923,21.6049,59.0584,0.24
635000000,42,247.994,44.079,50.7029,0.239
636000000,30,183.537,9.17778,25.6598,0.254
637000000,45,269.965,17.8602,51.0486,0.252
638000000,43,252.164,21.3547,43.5915,0.231
639000000,20,128.033,47.2968,27.9702,0.222333
640000000,63,359.598,21.574,61.3966,0.2735
641000000,28,163.597,23.505,26.778,0.2495
642000000,42,230.935,51.2077,53.6675,0.228
643000000,65,390.913,40.7426,60.2242,0.212
644000000,45,268.792,26.6151,40.1237,0.264
