,ENA,WNA,NEO,EUR,CASIA,EASIA
Pseudoeurycea lynchi,0,0,1,0,0,0
Pseudoeurycea nigromaculata,0,0,1,0,0,0
Pseudoeurycea firscheini,0,0,1,0,0,0
Pseudoeurycea papenfussi,0,0,1,0,0,0
Pseudoeurycea melanomolga,0,0,1,0,0,0
Pseudoeurycea anitae,0,0,1,0,0,0
Bolitoglossa marmorea,0,0,1,0,0,0
Bolitoglossa gracilis,0,0,1,0,0,0
Bolitoglossa gomezi,0,0,1,0,0,0
Bolitoglossa pesrubra,0,0,1,0,0,0
Bolitoglossa robinsoni,1,0,0,0,0,0
Bolitoglossa bramei,0,0,1,0,0,0
Bolitoglossa colonnea,0,0,1,0,0,0
Bolitoglossa nigrescens,0,0,1,0,0,0
Bolitoglossa robusta,0,0,1,0,0,0
Bolitoglossa spongai,1,0,0,0,0,0
Bolitoglossa biseriata,0,0,1,0,0,0
Bolitoglossa sima,0,0,1,0,0,0
Bolitoglossa medemi,0,0,1,0,0,0
Bolitoglossa paraensis,0,0,1,0,0,0
Bolitoglossa palmata,0,0,1,0,0,0
Bolitoglossa stuarti,0,0,1,0,0,0
Bolitoglossa mulleri,0,0,1,0,0,0
Bolitoglossa mombachoensis,0,0,1,0,0,0
Bolitoglossa striatula,0,0,1,0,0,0
Bolitoglossa macrinii,0,0,1,0,0,0
Bolitoglossa oaxacensis,0,0,1,0,0,0
Bolitoglossa zapoteca,0,0,1,0,0,0
Bolitoglossa hermosa,0,0,1,0,0,0
Bolitoglossa riletti,0,0,1,0,0,0
Bolitoglossa porrasorum,0,0,1,0,0,0
Bolitoglossa longissima,0,0,1,0,0,0
Bolitoglossa dunni,0,0,1,0,0,0
Bolitoglossa diaphora,0,0,1,0,0,0
Bolitoglossa conanti,0,0,1,0,0,0
Bolitoglossa carri,0,0,1,0,0,0
Bolitoglossa meliana,0,0,1,0,0,0
Bolitoglossa flavimembris,0,0,1,0,0,0
Bolitoglossa synoria,0,0,1,0,0,0
Bolitoglossa celaque,0,0,1,0,0,0
