tree$tip.label	ENA	WNA	NEO	EUR	CASIA	EASIA
Plethodon_teyahalee	1	0.001	0.001	0.001	0.001	0.001
Plethodon_cylindraceus	1	0.001	0.001	0.001	0.001	0.001
Plethodon_chattahoochee	1	0.001	0.001	0.001	0.001	0.001
Plethodon_cheoah	1	0.001	0.001	0.001	0.001	0.001
Plethodon_glutinosus	1	0.001	0.001	0.001	0.001	0.001
Plethodon_aureolus	1	0.001	0.001	0.001	0.001	0.001
Hemidactylium_scutatum	1	0.001	0.001	0.001	0.001	0.001
Stereochilus_marginatus	1	0.001	0.001	0.001	0.001	0.001
Pseudotriton_montanus	1	0.001	0.001	0.001	0.001	0.001
Pseudotriton_ruber	1	0.001	0.001	0.001	0.001	0.001
Gyrinophilus_porphyriticus	1	0.001	0.001	0.001	0.001	0.001
Gyrinophilus_gulolineatus	1	0.001	0.001	0.001	0.001	0.001
Gyrinophilus_palleucus	1	0.001	0.001	0.001	0.001	0.001
Urspelerpes_brucei	1	0.001	0.001	0.001	0.001	0.001
Eurycea_spelaea	1	0.001	0.001	0.001	0.001	0.001
Eurycea_tynerensis	1	0.001	0.001	0.001	0.001	0.001
Eurycea_multiplicata	1	0.001	0.001	0.001	0.001	0.001
Eurycea_chamberlaini	1	0.001	0.001	0.001	0.001	0.001
Eurycea_lucifuga	1	0.001	0.001	0.001	0.001	0.001
Eurycea_longicauda	1	0.001	0.001	0.001	0.001	0.001
Eurycea_guttolineata	1	0.001	0.001	0.001	0.001	0.001
Eurycea_wilderae	1	0.001	0.001	0.001	0.001	0.001
Eurycea_cirrigera	1	0.001	0.001	0.001	0.001	0.001
Haideotriton_wallacei	1	0.001	0.001	0.001	0.001	0.001
Eurycea_bislineata	1	0.001	0.001	0.001	0.001	0.001
Eurycea_aquatica	1	0.001	0.001	0.001	0.001	0.001
Eurycea_junaluska	1	0.001	0.001	0.001	0.001	0.001
Eurycea_quadridigitata	1	0.001	0.001	0.001	0.001	0.001
Eurycea_naufragia	1	0.001	0.001	0.001	0.001	0.001
Eurycea_chisholmensis	1	0.001	0.001	0.001	0.001	0.001
Eurycea_tonkawae	1	0.001	0.001	0.001	0.001	0.001
Eurycea_rathbuni	1	0.001	0.001	0.001	0.001	0.001
Eurycea_waterlooensis	1	0.001	0.001	0.001	0.001	0.001
Eurycea_troglodytes	1	0.001	0.001	0.001	0.001	0.001
Eurycea_sosorum	1	0.001	0.001	0.001	0.001	0.001
Eurycea_nana	1	0.001	0.001	0.001	0.001	0.001
Eurycea_neotenes	1	0.001	0.001	0.001	0.001	0.001
Eurycea_pterophila	1	0.001	0.001	0.001	0.001	0.001
Eurycea_latitans	1	0.001	0.001	0.001	0.001	0.001
