treeN,data,pleth,clade,stem,crown,gcr_stem,gcr_crown,epsilon_stem,epsilon_crown,exN,rstem.stem,rcrown.crown,rstem_hi.stem,rcrown_hi.crown,rstem_lo.stem,rcrown_lo.crown
35,fossil,0,Salamandrininae,141.056264,10.583186,0.0282731526424231,0.0255740310834281,0.663746736543367,0.694496407031149,2,0.00205499293249528,0,0.000675689098105738,0,0.00491397659986192,0
35,fossil,0,Sirenidae,16.728039,43.2990470000001,0.00648784968748664,0.00589521326433806,0.888943436287913,0.907963074679021,4,0.0171902596157166,0.00436192681045413,0.0156841016730946,0.00467821365929667,0.0828724969567497,0.0160083703588198
36,fossil,0,Ambystomatidae,114.162105,41.6437840000001,0.0479240198458767,0.0518879537715645,0.373311617926914,0.352681185183722,34,0.0269478495505905,0.0651366083965232,0.0127767004883058,0.0337761435731964,0.0308890636224355,0.0680344837072494
36,fossil,0,Amphiumidae,88.409124,13.517163,0.00711129085348092,0.00665485356081327,0.825371242319729,0.841944479581064,3,0.00338827531567101,0.0126997287121195,0.00206224819956314,0.00871359142864395,0.0124264582541063,0.0299963171346061
36,fossil,0,Cryptobranchidae,47.774039,42.8569740000001,0.00652723842303068,0.00589074225895174,0.871561755878232,0.888790216969203,3,0.00478564656478918,0.00300814520155151,0.00381633122529068,0.00274828166021202,0.0229960102110711,0.00946088979842963
36,fossil,0,Dicamptodontidae,114.162105,6.13521600000004,0.0101127556219271,0.0106563172316342,0.792608369130266,0.795359164246899,4,0.00423755128870128,0.0576406032180677,0.00229817297488944,0.0330163099571275,0.0121432095275389,0.112978447793841
36,fossil,0,Hynobiidae,47.774039,69.5740300000001,0.0594461999154923,0.0596690742327874,0.290807310422839,0.289753498383187,65.0000000001354,0.0803165912967932,0.0488383753829859,0.0418947202729071,0.0280247849946096,0.0873777339591849,0.0500364875994358
36,fossil,0,Plethodontidae,NA,NA,NA,NA,NA,NA,450.45045045045,NA,NA,NA,NA,NA,NA
36,fossil,0,Pleurodelinae,146.173079,49.134786,0.0516682188989156,0.0516739521359763,0.511818396809004,0.512142855994793,98.0001100352113,0.0265339016898339,0.0732097808913068,0.0162153303881202,0.0471904872301631,0.0313667101551457,0.0792070493787899
36,fossil,0,Proteidae,54.791606,108.316879,0.00783162055815155,0.00775819564409956,0.819423741880779,0.826346628898651,8,0.0149137459591322,0.00644896536027057,0.00968448070425551,0.00439232543524818,0.0379518268123011,0.0127985072494555
36,fossil,0,Rhyacotritonidae,79.244038,14.7538400000001,0.00833171873041579,0.00956588402984158,0.797961407210631,0.815035925187523,4,0.00597923472885654,0.0222891001914131,0.00331083916328811,0.0137294557288088,0.0174939894042236,0.0469807982572634
36,fossil,0,Salamandrinae,146.173079,54.260406,0.0427294094366521,0.0426115449064349,0.540260241473206,0.540444591854252,19.0000164666809,0.0152378089868455,0.0361248771629006,0.00704384153580519,0.018004689814699,0.0201435166172663,0.0414905237766473
36,fossil,0,Salamandrininae,137.012264,10.583186,0.0231581423987155,0.0221367722916,0.69673952735795,0.71191874386883,2,0.00193317862715428,-1.04904423358444e-17,0.000695632471297058,0,0.00505901559702674,0
36,fossil,0,Sirenidae,12.684039,43.2990470000001,0.00650838619070292,0.0056813611328455,0.880520219067014,0.899264949790138,4,0.0241513368697332,0.00470699334745543,0.0206845993194669,0.00467821365929668,0.109294394405433,0.0160083703588198
37,fossil,0,Ambystomatidae,113.960105,41.643784,0.0465782045068665,0.0507229127276445,0.411670400854874,0.390841233716611,34,0.0264677177034288,0.0644139115253763,0.012799347830537,0.0337761435731964,0.0309438160364644,0.0680344837072494
37,fossil,0,Amphiumidae,88.207124,13.5171630000001,0.00672396623053076,0.00639546184331221,0.832045827430053,0.852400370033143,3,0.00328331154775993,0.0120313811606603,0.00206697088087754,0.00871359142864393,0.0124549156445471,0.029996317134606
37,fossil,0,Cryptobranchidae,47.572039,42.8569740000001,0.00450970378013856,0.0034366233061411,0.907655740197143,0.938916381773312,3,0.00356259456068038,0.00177584894398394,0.00383253609949228,0.00274828166021202,0.0230936556801383,0.00946088979842963
